id,matchId,seatId,fanId,purchasedAt,price
TKT10830119,MATCH001,SEAT000033,SIM_FAN_0047,2026-07-24 23:34:17,500000.0
TKT10830120,MATCH001,SEAT000037,SIM_FAN_0048,2026-07-24 23:34:17,500000.0
TKT10830121,MATCH001,SEAT000073,SIM_FAN_0049,2026-07-24 23:34:17,500000.0
TKT10830122,MATCH001,SEAT000038,SIM_FAN_0050,2026-07-24 23:34:17,500000.0
TKT10830123,MATCH001,SEAT000047,SIM_FAN_0052,2026-07-24 23:34:17,500000.0
TKT10830124,MATCH001,SEAT000061,SIM_FAN_0054,2026-07-24 23:34:17,500000.0
TKT10830125,MATCH001,SEAT000068,SIM_FAN_0055,2026-07-24 23:34:17,500000.0
TKT10830126,MATCH001,SEAT000059,SIM_FAN_0044,2026-07-24 23:34:17,500000.0
TKT10830127,MATCH001,SEAT000011,SIM_FAN_0033,2026-07-24 23:34:17,500000.0
TKT10830128,MATCH001,SEAT000085,SIM_FAN_0058,2026-07-24 23:34:17,500000.0
TKT10830129,MATCH001,SEAT000099,SIM_FAN_0060,2026-07-24 23:34:17,500000.0
TKT10830130,MATCH001,SEAT000003,SIM_FAN_0063,2026-07-24 23:34:17,500000.0
TKT10830131,MATCH001,SEAT000060,SIM_FAN_0068,2026-07-24 23:34:17,500000.0
TKT10830132,MATCH001,SEAT000010,SIM_FAN_0069,2026-07-24 23:34:17,500000.0
TKT10830133,MATCH001,SEAT000012,SIM_FAN_0073,2026-07-24 23:34:17,500000.0
TKT10830134,MATCH001,SEAT000025,SIM_FAN_0077,2026-07-24 23:34:17,500000.0
TKT10830135,MATCH001,SEAT000094,SIM_FAN_0082,2026-07-24 23:34:17,500000.0
TKT10830136,MATCH001,SEAT000096,SIM_FAN_0098,2026-07-24 23:34:17,500000.0
TKT10830137,MATCH001,SEAT000036,SIM_FAN_0086,2026-07-24 23:34:17,500000.0
TKT10830138,MATCH001,SEAT000031,SIM_FAN_0087,2026-07-24 23:34:17,500000.0
TKT10830139,MATCH001,SEAT000100,SIM_FAN_0092,2026-07-24 23:34:18,500000.0
TKT10830140,MATCH001,SEAT000078,SIM_FAN_0093,2026-07-24 23:34:18,500000.0
TKT10830141,MATCH001,SEAT000067,SIM_FAN_0081,2026-07-24 23:34:18,500000.0
TKT10830142,MATCH001,SEAT000028,SIM_FAN_0096,2026-07-24 23:34:18,500000.0
TKT10830143,MATCH001,SEAT000020,SIM_FAN_0083,2026-07-24 23:34:18,500000.0
TKT10830144,MATCH001,SEAT000015,SIM_FAN_0100,2026-07-24 23:34:18,500000.0
TKT10830145,MATCH001,SEAT000029,SIM_FAN_0101,2026-07-24 23:34:18,500000.0
TKT10830146,MATCH001,SEAT000087,SIM_FAN_0103,2026-07-24 23:34:18,500000.0
TKT10830147,MATCH001,SEAT000043,SIM_FAN_0109,2026-07-24 23:34:18,500000.0
TKT10830148,MATCH001,SEAT000071,SIM_FAN_0116,2026-07-24 23:34:18,500000.0
TKT10830149,MATCH001,SEAT000005,SIM_FAN_0131,2026-07-24 23:34:18,500000.0
TKT10830150,MATCH001,SEAT000049,SIM_FAN_0122,2026-07-24 23:34:18,500000.0
TKT10830151,MATCH001,SEAT000050,SIM_FAN_0127,2026-07-24 23:34:18,500000.0
TKT10830152,MATCH001,SEAT000092,SIM_FAN_0129,2026-07-24 23:34:18,500000.0
TKT10830153,MATCH001,SEAT000044,SIM_FAN_0136,2026-07-24 23:34:18,500000.0
TKT10830154,MATCH001,SEAT000074,SIM_FAN_0139,2026-07-24 23:34:18,500000.0
TKT10830155,MATCH001,SEAT000097,SIM_FAN_0150,2026-07-24 23:34:18,500000.0
TKT10830156,MATCH001,SEAT000088,SIM_FAN_0155,2026-07-24 23:34:18,500000.0
TKT10830157,MATCH001,SEAT000084,SIM_FAN_0156,2026-07-24 23:34:18,500000.0
TKT10830158,MATCH001,SEAT000039,SIM_FAN_0167,2026-07-24 23:34:18,500000.0
TKT10830159,MATCH001,SEAT000091,SIM_FAN_0169,2026-07-24 23:34:18,500000.0
TKT10830160,MATCH001,SEAT000075,SIM_FAN_0173,2026-07-24 23:34:18,500000.0
TKT10830161,MATCH001,SEAT000055,SIM_FAN_0182,2026-07-24 23:34:18,500000.0
TKT10830162,MATCH001,SEAT000045,SIM_FAN_0189,2026-07-24 23:34:18,500000.0
TKT10830163,MATCH001,SEAT000046,SIM_FAN_0191,2026-07-24 23:34:18,500000.0
TKT10830164,MATCH001,SEAT000093,SIM_FAN_0201,2026-07-24 23:34:18,500000.0
TKT10830165,MATCH001,SEAT000063,SIM_FAN_0202,2026-07-24 23:34:19,500000.0
TKT10830166,MATCH001,SEAT000001,SIM_FAN_0210,2026-07-24 23:34:19,500000.0
TKT10830167,MATCH001,SEAT000018,SIM_FAN_0217,2026-07-24 23:34:19,500000.0
TKT10830168,MATCH001,SEAT000022,SIM_FAN_0203,2026-07-24 23:34:19,500000.0
TKT10830169,MATCH001,SEAT000008,SIM_FAN_0229,2026-07-24 23:34:19,500000.0
TKT10830170,MATCH001,SEAT000077,SIM_FAN_0269,2026-07-24 23:34:19,500000.0
TKT10830171,MATCH001,SEAT000066,SIM_FAN_0274,2026-07-24 23:34:19,500000.0
TKT10830172,MATCH001,SEAT000013,SIM_FAN_0278,2026-07-24 23:34:19,500000.0
TKT10830173,MATCH001,SEAT000026,SIM_FAN_0330,2026-07-24 23:34:19,500000.0
TKT10830174,MATCH001,SEAT000086,SIM_FAN_0338,2026-07-24 23:34:19,500000.0
TKT10830175,MATCH001,SEAT000080,SIM_FAN_0389,2026-07-24 23:34:20,500000.0
TKT10830176,MATCH001,SEAT000034,SIM_FAN_0412,2026-07-24 23:34:20,500000.0
TKT10830177,MATCH001,SEAT000004,SIM_FAN_0434,2026-07-24 23:34:20,500000.0
TKT10830178,MATCH001,SEAT000079,SIM_FAN_0435,2026-07-24 23:34:20,500000.0
