id,concurrencyMode,threadCount,totalSeats,successfulBookings,failedBookings,doubleBookingCount,durationMs,throughput,doubleBookingRate,timestamp
SIM_1784868655755,FILE_LOCK,500,100,1,0,0,130,7.69,0.00,2026-07-24 11:50:55
SIM_1784868669069,OPTIMISTIC_LOCK,500,100,97,403,0,10507,47.59,0.00,2026-07-24 11:51:09
SIM_1784868847642,NO_LOCK,500,100,500,0,400,12371,40.42,80.00,2026-07-24 11:54:07
SIM_1784868855921,SYNCHRONIZED,500,100,100,400,0,4902,102.00,0.00,2026-07-24 11:54:15
SIM_1784868858593,FILE_LOCK,500,100,1,0,0,108,9.26,0.00,2026-07-24 11:54:18
SIM_1784868870781,OPTIMISTIC_LOCK,500,100,99,401,0,9677,51.67,0.00,2026-07-24 11:54:30
SIM_1784869400295,NO_LOCK,500,100,498,2,399,13048,38.32,80.12,2026-07-24 12:03:20
SIM_1784869406244,SYNCHRONIZED,500,100,100,400,0,4876,102.54,0.00,2026-07-24 12:03:26
SIM_1784869411451,FILE_LOCK,500,100,99,401,0,5022,99.56,0.00,2026-07-24 12:03:31
SIM_1784869422150,OPTIMISTIC_LOCK,500,100,100,400,0,10502,47.61,0.00,2026-07-24 12:03:42
SIM_1784871775952,NO_LOCK,1000,100,926,74,826,23789,42.04,89.20,2026-07-24 12:42:55
SIM_1784871785791,SYNCHRONIZED,1000,100,100,900,0,7669,130.40,0.00,2026-07-24 12:43:05
SIM_1784871793874,FILE_LOCK,1000,100,100,900,0,7868,127.10,0.00,2026-07-24 12:43:13
SIM_1784871812240,OPTIMISTIC_LOCK,1000,100,100,900,0,18166,55.05,0.00,2026-07-24 12:43:32
SIM_1784872083329,NO_LOCK,500,100,500,0,400,13780,36.28,80.00,2026-07-24 12:48:03
SIM_1784872089380,SYNCHRONIZED,500,100,100,400,0,4964,100.73,0.00,2026-07-24 12:48:09
SIM_1784872094673,FILE_LOCK,500,100,99,401,0,5115,97.75,0.00,2026-07-24 12:48:14
SIM_1784872104131,OPTIMISTIC_LOCK,500,100,100,400,0,9274,53.91,0.00,2026-07-24 12:48:24
SIM_1784872154501,NO_LOCK,1000,200,733,267,535,20438,48.93,72.99,2026-07-24 12:49:14
SIM_1784872165778,SYNCHRONIZED,1000,200,198,802,0,9744,102.63,0.00,2026-07-24 12:49:25
SIM_1784872176372,FILE_LOCK,1000,200,200,800,0,10246,97.60,0.00,2026-07-24 12:49:36
SIM_1784872195071,OPTIMISTIC_LOCK,1000,200,199,801,0,18358,54.47,0.00,2026-07-24 12:49:55
SIM_1784872950457,NO_LOCK,1000,50,1000,0,950,25789,38.78,95.00,2026-07-24 13:02:30
SIM_1784872959941,SYNCHRONIZED,1000,50,50,950,0,6761,147.91,0.00,2026-07-24 13:02:39
SIM_1784872967039,FILE_LOCK,1000,50,50,950,0,6939,144.11,0.00,2026-07-24 13:02:47
SIM_1784872984732,OPTIMISTIC_LOCK,1000,50,50,950,0,17539,57.02,0.00,2026-07-24 13:03:04
SIM_1784873072690,NO_LOCK,1000,150,801,199,651,20586,48.58,81.27,2026-07-24 13:04:32
SIM_1784873084496,SYNCHRONIZED,1000,150,150,850,0,9871,101.31,0.00,2026-07-24 13:04:44
SIM_1784873093827,FILE_LOCK,1000,150,150,850,0,9056,110.42,0.00,2026-07-24 13:04:53
SIM_1784873112319,OPTIMISTIC_LOCK,1000,150,150,850,0,18220,54.88,0.00,2026-07-24 13:05:12
SIM_1784879983326,NO_LOCK,500,200,500,0,315,14269,35.04,63.00,2026-07-24 14:59:43
SIM_1784879990838,SYNCHRONIZED,500,200,186,314,0,6607,75.68,0.00,2026-07-24 14:59:50
SIM_1784879997931,FILE_LOCK,500,200,188,312,0,6810,73.42,0.00,2026-07-24 14:59:57
SIM_1784880008212,OPTIMISTIC_LOCK,500,200,184,316,0,9906,50.47,0.00,2026-07-24 15:00:08
SIM_1784880752533,NO_LOCK,1000,200,714,0,800,30007,23.79,112.04,2026-07-24 15:12:32
SIM_1784880779687,SYNCHRONIZED,1000,200,196,804,0,11867,84.27,0.00,2026-07-24 15:12:59
SIM_1784880791494,FILE_LOCK,1000,200,200,800,0,11284,88.62,0.00,2026-07-24 15:13:11
SIM_1784880813613,OPTIMISTIC_LOCK,1000,200,200,800,0,21758,45.96,0.00,2026-07-24 15:13:33
SIM_1784880894981,NO_LOCK,1000,100,1000,0,900,26160,38.23,90.00,2026-07-24 15:14:54
SIM_1784880905981,SYNCHRONIZED,1000,100,100,900,0,8222,121.62,0.00,2026-07-24 15:15:05
SIM_1784880914586,FILE_LOCK,1000,100,100,900,0,8277,120.82,0.00,2026-07-24 15:15:14
SIM_1784880933230,OPTIMISTIC_LOCK,1000,100,100,900,0,18432,54.25,0.00,2026-07-24 15:15:33
SIM_1784881083806,NO_LOCK,500,100,500,0,400,13725,36.43,80.00,2026-07-24 15:18:03
SIM_1784881089653,SYNCHRONIZED,500,100,99,401,0,4917,101.69,0.00,2026-07-24 15:18:09
SIM_1784881094866,FILE_LOCK,500,100,99,401,0,5031,99.38,0.00,2026-07-24 15:18:14
SIM_1784881104401,OPTIMISTIC_LOCK,500,100,100,400,0,9356,53.44,0.00,2026-07-24 15:18:24
SIM_1784881642990,NO_LOCK,500,100,500,0,402,13363,37.42,80.40,2026-07-24 15:27:22
SIM_1784881649140,SYNCHRONIZED,500,100,99,401,0,5128,97.50,0.00,2026-07-24 15:27:29
SIM_1784881656311,FILE_LOCK,500,100,100,400,0,6980,71.63,0.00,2026-07-24 15:27:36
SIM_1784881667020,OPTIMISTIC_LOCK,500,100,100,400,0,10508,47.58,0.00,2026-07-24 15:27:47
SIM_1784881744569,NO_LOCK,1000,100,998,2,898,28719,34.82,89.98,2026-07-24 15:29:04
SIM_1784881764096,SYNCHRONIZED,1000,100,100,900,0,16558,60.39,0.00,2026-07-24 15:29:24
SIM_1784881784185,FILE_LOCK,1000,100,99,901,0,19623,50.96,0.00,2026-07-24 15:29:44
SIM_1784881814758,OPTIMISTIC_LOCK,1000,100,100,515,0,30016,20.49,0.00,2026-07-24 15:30:14
SIM_1784882298785,NO_LOCK,500,100,500,0,399,16521,30.26,79.80,2026-07-24 15:38:18
SIM_1784882311000,SYNCHRONIZED,500,100,100,400,0,9983,50.09,0.00,2026-07-24 15:38:31
SIM_1784882316579,FILE_LOCK,500,100,100,400,0,5387,92.82,0.00,2026-07-24 15:38:36
SIM_1784882326272,OPTIMISTIC_LOCK,500,100,100,400,0,9519,52.53,0.00,2026-07-24 15:38:46
SIM_1784882561357,NO_LOCK,500,100,500,0,401,12848,38.92,80.20,2026-07-24 15:42:41
SIM_1784882568306,SYNCHRONIZED,500,100,99,401,0,5950,84.03,0.00,2026-07-24 15:42:48
SIM_1784882573662,FILE_LOCK,500,100,100,400,0,5183,96.47,0.00,2026-07-24 15:42:53
SIM_1784882583046,OPTIMISTIC_LOCK,500,100,98,402,0,9207,54.31,0.00,2026-07-24 15:43:03
SIM_1784882691161,NO_LOCK,500,100,500,0,400,12533,39.89,80.00,2026-07-24 15:44:51
SIM_1784882697415,SYNCHRONIZED,500,100,99,401,0,5116,97.73,0.00,2026-07-24 15:44:57
SIM_1784882702763,FILE_LOCK,500,100,100,400,0,5149,97.11,0.00,2026-07-24 15:45:02
SIM_1784882712258,OPTIMISTIC_LOCK,500,100,99,401,0,9309,53.71,0.00,2026-07-24 15:45:12
SIM_1784882905304,NO_LOCK,1000,100,1000,0,900,25344,39.46,90.00,2026-07-24 15:48:25
SIM_1784882915584,SYNCHRONIZED,1000,100,100,900,0,7756,128.93,0.00,2026-07-24 15:48:35
SIM_1784882923790,FILE_LOCK,1000,100,100,900,0,7993,125.11,0.00,2026-07-24 15:48:43
SIM_1784882941873,OPTIMISTIC_LOCK,1000,100,100,900,0,17858,56.00,0.00,2026-07-24 15:49:01
SIM_1784883296375,NO_LOCK,500,100,500,0,400,12816,39.01,80.00,2026-07-24 15:54:56
SIM_1784883302381,SYNCHRONIZED,500,100,99,401,0,5003,99.94,0.00,2026-07-24 15:55:02
SIM_1784883307770,FILE_LOCK,500,100,100,400,0,5182,96.49,0.00,2026-07-24 15:55:07
SIM_1784883315401,OPTIMISTIC_LOCK,500,100,100,400,0,7427,67.32,0.00,2026-07-24 15:55:15
SIM_1784883818599,NO_LOCK,100,20,100,0,80,2651,37.72,80.00,2026-07-24 16:03:38
SIM_1784883819733,SYNCHRONIZED,100,20,20,80,0,939,106.50,0.00,2026-07-24 16:03:39
SIM_1784883820766,FILE_LOCK,100,20,20,80,0,970,103.09,0.00,2026-07-24 16:03:40
SIM_1784883822187,OPTIMISTIC_LOCK,100,20,20,80,0,1358,73.64,0.00,2026-07-24 16:03:42
SIM_1784884332010,NO_LOCK,80,10,80,0,69,2115,37.83,86.25,2026-07-24 16:12:12
SIM_1784884332840,SYNCHRONIZED,80,10,10,70,0,642,124.61,0.00,2026-07-24 16:12:12
SIM_1784884333548,FILE_LOCK,80,10,10,70,0,662,120.85,0.00,2026-07-24 16:12:13
SIM_1784884334643,OPTIMISTIC_LOCK,80,10,10,70,0,1040,76.92,0.00,2026-07-24 16:12:14
SIM_1784885212113,NO_LOCK,500,100,500,0,400,15606,32.04,80.00,2026-07-24 16:26:52
SIM_1784885221360,SYNCHRONIZED,500,100,99,401,0,7668,65.21,0.00,2026-07-24 16:27:01
SIM_1784885228367,FILE_LOCK,500,100,99,401,0,6749,74.09,0.00,2026-07-24 16:27:08
SIM_1784885236410,OPTIMISTIC_LOCK,500,100,100,400,0,7811,64.01,0.00,2026-07-24 16:27:16
SIM_1784885723651,NO_LOCK,500,100,500,0,400,13270,37.68,80.00,2026-07-24 16:35:23
SIM_1784885729697,SYNCHRONIZED,500,100,100,400,0,5016,99.68,0.00,2026-07-24 16:35:29
SIM_1784885735182,FILE_LOCK,500,100,98,402,0,5272,94.84,0.00,2026-07-24 16:35:35
SIM_1784885742778,OPTIMISTIC_LOCK,500,100,100,400,0,7414,67.44,0.00,2026-07-24 16:35:42
SIM_1784886095240,NO_LOCK,500,100,500,0,402,12713,39.33,80.40,2026-07-24 16:41:35
SIM_1784886101190,SYNCHRONIZED,500,100,100,400,0,4926,101.50,0.00,2026-07-24 16:41:41
SIM_1784886106337,FILE_LOCK,500,100,100,400,0,4971,100.58,0.00,2026-07-24 16:41:46
SIM_1784886113374,OPTIMISTIC_LOCK,500,100,100,400,0,6867,72.81,0.00,2026-07-24 16:41:53
SIM_1784910842782,NO_LOCK,500,100,500,0,401,13351,37.45,80.20,2026-07-24 23:34:02
SIM_1784910848585,SYNCHRONIZED,500,100,99,401,0,4850,103.09,0.00,2026-07-24 23:34:08
SIM_1784910853735,FILE_LOCK,500,100,100,400,0,4962,100.77,0.00,2026-07-24 23:34:13
SIM_1784910860921,OPTIMISTIC_LOCK,500,100,99,401,0,7003,71.40,0.00,2026-07-24 23:34:20
